filenumber,title,authors,keyword1,keyword2,keyword3,keyword4,keyword5,X,Y,cluster,cluster top keyword 1,cluster top keyword 2,cluster top keyword 3,cluster top keyword 4,cluster top keyword 5
1,HydroQual: Visual Analysis of River Water Quality,"Accorsi, P.;Fabregue, M.;Sallaberry, A.;Cernesson, F.;Lalande, N.;Braud, A.;Bringay, S.;Le Ber, F.;Poncelet, P.;Teisseire, M.",2,1,6,10,3,-9.367053,16.407899,2,design,tool,analyt,user,inform
2,Serendip: Topic Model-Driven Visual Exploration of Text Corpora,"Alexander, E.;Kohlmann, J.;Valenza, R.;Witmore, M.;Gleicher, M.",9,3,5,4,1,23.603289,-0.012114,9,model,simul,interact,base,view
3,Feedback-Driven Interactive Exploration of Large Multidimensional Data Supported by Visual Classifier,"Behrisch, M.;Korkmaz, F.;Lin Shao;Schreck, T.",5,2,3,9,10,-22.75892,53.92558,5,interact,user,explor,method,view
4,Multi-Model Semantic Interaction for Text Analytics,"Bradel, L.;North, C.;House, l.;Leman, S.",9,10,5,1,2,43.000262,1.928592,9,model,simul,interact,base,view
5,A System for Visual Analysis of Radio Signal Data,"Crnovrsanin, T.;Muelder, C.;Kwan-Liu Ma",10,2,1,3,4,20.675841,53.690546,10,system,interact,user,inform,explor
6,Baseball4D: A Tool for Baseball Game Reconstruction & Visualization,"Dietrich, C.;Koop, D.;Huy T. Vo;Silva, C.T.",5,8,6,2,3,-32.959584,40.98557,5,interact,user,explor,method,view
7,An Insightand Task-based Methodology for Evaluating Spatiotemporal Visual Analytics,"Gomez, S.R.;Hua Guo;Ziemkiewicz, C.;Laidlaw, D.H.",2,5,4,9,8,0.888984,28.797779,2,design,tool,analyt,user,inform
8,Feature-Driven Visual Analytics of Soccer Data,"Janetzko, H.;Sacha, D.;Stein, M.;Schreck, T.;Deussen, O.;Keim, D.",5,10,6,9,2,-24.621053,43.18821,5,interact,user,explor,method,view
9,"Analyzing High-dimensional Multivariate Network Links with Integrated Anomaly Detection, Highlighting and Exploration","Sungahn Ko;Afzal, S.;Walton, S.;Yang Yang;Junghoon Chae;Malik, A.;Yun Jang;Chen, M.;Ebert, D.",5,4,3,9,6,-31.522949,41.214731,5,interact,user,explor,method,view
10,Weaving a Carpet from Log Entries: A Network Security Visualization Built with Co-Creation,"Landstorfer, J.;Herrmann, I.;Stange, J.-E.;Dork, M.;Wettach, R.",2,6,4,5,9,-0.31604,18.351787,2,design,tool,analyt,user,inform
11,Visual Analysis of Patterns in Multiple Amino Acid Mutation Graphs,"Lenz, O.;Keul, F.;Bremm, S.;Hamacher, K.;von Landesberger, T.",4,10,6,5,1,-63.980036,-5.11902,4,graph,network,node,layout,edg
12,TopicPanorama: a Full Picture of Relevant Topics,Shixia Liu;Xiting Wang;Jianfei Chen;Jun Zhu;Baining Guo,4,5,9,10,1,-62.989771,-5.348815,4,graph,network,node,layout,edg
13,Vismate: Interactive Visual Analysis of Station-Based Observatiion Data on Climate Changes,Jie Li;Kang Zhang;Zhao-Peng Meng;,5,6,9,3,1,-29.424792,43.439764,5,interact,user,explor,method,view
14,Integrating Predictive Analytics and Social Media,"Yafeng Kruger, R.;Thom, D.;Feng Wang;Koch, S.;Ertl, T.;Maciejewski, R.",9,5,10,2,1,39.324381,6.167224,9,model,simul,interact,base,view
15,An Integrated Visual Analysis System for Fusing MR Spectroscopy and Multi-Modal Radiology Imaging,"Nunes, M.;Rowland, B.;Schlachter, M.;Ken, S.;Matkovic, K.;Laprie, A.;Buhler, k.",1,5,10,2,6,-29.131761,-33.846248,1,volum,render,imag,base,techniqu
16,YMCA - Your Mesh Comparison Application,"Schmidt, J.;Preiner, R.;Auzinger, T.;Wimmer, T.;Groller, E.;Bruckner S.",7,6,5,1,3,10.874325,-48.545782,7,surfac,method,mesh,algorithm,model
17,A Visual Reasoning Approach for Data-driven Transport Assessment on Urban Roads,Fei Wang;Wei Chen;Feiran Wu;Ye Zhao;Han Hong;Tianyu Gu;Long Wang;Ronghua Liang;Hujun Bao,10,9,2,8,4,10.295465,54.689481,10,system,interact,user,inform,explor
18,Using Visualizations to Monitor Changes and Harvest Insights from a Global-Scale Logging Infrastructure at Twitter,"Wongsuphasawat, K.;Lin, J.",10,5,2,6,3,7.773947,56.686664,10,system,interact,user,inform,explor
19,BoundarySeer: Visual Analysis of 2D Boundary Changes,"Wenchao Wu;Yixian Zheng;Huamin Qu;Wei Chen;Groller, E.;Lionel Ni",10,5,6,3,8,15.073322,57.77849,10,system,interact,user,inform,explor
20,"Towards Interactive, Intelligent, and Integrated Multimedia Analytics","Zahlka, J.;Worring, M.",9,10,5,2,3,41.866516,7.536775,9,model,simul,interact,base,view
21,PEARL: An Interactive Visual Analytic Tool for Understanding Personal Emotion Style Derived from Social Media,"Jian Zhao;Liang Gou;Fei Wang;Zhou, M.X.",10,5,2,9,1,-4.041679,51.767304,10,system,interact,user,inform,explor
22,Knowledge Generation Model for Visual Analytics,"Sacha, D.;Stoffel, A.;Stoffel, F.;Bum Chul Kwon;Ellis, G.;Keim, D.A.",9,10,2,1,3,40.883434,8.151716,9,model,simul,interact,base,view
23,INFUSE: Interactive Feature Selection for Predictive Modeling of High Dimensional Data,"Krause, J.;Perer, A.;Bertini, E.",9,10,5,7,8,32.719546,-6.740299,9,model,simul,interact,base,view
24,Transforming Scagnostics to Reveal Hidden Features,"Tuan Nhon Dang;Wilkinson, L.",5,6,8,9,4,-29.16282,32.135891,5,interact,user,explor,method,view
25,Supporting Communication and Coordination in Collaborative Sensemaking,"Mahyar, N.;Tory, M.",2,5,6,3,10,-2.78091,26.707157,2,design,tool,analyt,user,inform
26,Opening the Black Box: Strategies for Increased User Involvement in Existing Algorithm Implementations,"Muhlbacher, T.;Piringer, H.;Gratzl, S.;Sedlmair, M.;Streit, M.",10,5,2,7,4,30.3143,47.087414,10,system,interact,user,inform,explor
27,Progressive Visual Analytics: User-Driven Visual Exploration of In-Progress Analytics,"Stolper, C.D.;Perer, A.;Gotz, D.",10,2,9,7,5,-1.260616,38.243412,10,system,interact,user,inform,explor
28,Finding Waldo: Learning about Users from their Interactions,"Brown, E.T.;Ottley, A.;Zhao, H.;Quan Lin;Souvenir, R.;Endert, A.;Chang, R.",10,5,2,1,3,-4.38274,55.310481,10,system,interact,user,inform,explor
